3,1,469.00,425.00,562.00,570.00,0.95,4,-1,-1
3,2,809.00,416.00,958.00,552.00,0.95,4,-1,-1
3,3,771.00,286.00,930.00,362.00,0.94,4,-1,-1
3,4,393.00,245.00,476.00,345.00,0.93,4,-1,-1
3,5,628.00,367.00,710.00,490.00,0.93,4,-1,-1
3,6,628.00,83.00,699.00,186.00,0.92,6,-1,-1
3,7,853.00,237.00,966.00,295.00,0.92,4,-1,-1
3,8,567.00,53.00,610.00,100.00,0.93,4,-1,-1
3,9,681.00,220.00,746.00,297.00,0.91,4,-1,-1
3,10,698.00,12.00,752.00,89.00,0.91,6,-1,-1
3,11,774.00,175.00,837.00,238.00,0.91,4,-1,-1
3,12,624.00,0.00,684.00,73.00,0.92,6,-1,-1
3,13,280.00,389.00,440.00,611.00,0.90,6,-1,-1
3,14,456.00,110.00,524.00,209.00,0.89,6,-1,-1
3,15,831.00,22.00,922.00,61.00,0.88,4,-1,-1
3,16,892.00,643.00,1031.00,764.00,0.87,6,-1,-1
3,17,862.00,85.00,970.00,129.00,0.86,4,-1,-1
3,18,771.00,0.00,816.00,53.00,0.85,5,-1,-1
3,19,527.00,10.00,562.00,49.00,0.88,4,-1,-1
3,21,942.00,293.00,974.00,338.00,0.84,10,-1,-1
3,22,999.00,76.00,1028.00,102.00,0.80,10,-1,-1
3,23,1056.00,129.00,1090.00,157.00,0.80,10,-1,-1
3,25,1092.00,238.00,1124.00,283.00,0.77,10,-1,-1
3,27,571.00,8.00,583.00,41.00,0.63,1,-1,-1
3,28,1018.00,266.00,1083.00,303.00,0.54,10,-1,-1
3,29,361.00,167.00,395.00,195.00,0.64,3,-1,-1
4,1,462.00,423.00,557.00,566.00,0.95,4,-1,-1
4,2,803.00,418.00,953.00,556.00,0.94,4,-1,-1
4,3,764.00,287.00,925.00,362.00,0.94,4,-1,-1
4,4,386.00,248.00,469.00,347.00,0.93,4,-1,-1
4,5,622.00,367.00,703.00,491.00,0.92,4,-1,-1
4,6,622.00,84.00,694.00,186.00,0.93,6,-1,-1
4,7,846.00,237.00,961.00,296.00,0.93,4,-1,-1
4,8,560.00,52.00,603.00,99.00,0.93,4,-1,-1
4,9,675.00,219.00,740.00,296.00,0.92,4,-1,-1
4,10,693.00,10.00,745.00,89.00,0.92,6,-1,-1
4,11,769.00,175.00,832.00,240.00,0.93,4,-1,-1
4,12,616.00,0.00,676.00,74.00,0.93,6,-1,-1
4,13,274.00,397.00,429.00,622.00,0.91,6,-1,-1
4,14,445.00,110.00,519.00,211.00,0.91,6,-1,-1
